date,pd_type,pd_count
2024-03-12,parliament_committee,279
2024-03-12,qpnotes,5298
2024-03-12,hospitalityq,23256
2024-03-12,parliament_report,378
2024-03-12,transition_deputy,48
2024-03-12,ati_all,171178
2024-03-12,contracts,1059585
2024-03-12,dac,3002
2024-03-12,hospitalityq_nil,3356
2024-03-12,reclassification,11288
2024-03-12,grants,984263
2024-03-12,briefingt,106095
2024-03-11,travelq_nil,2013
2024-03-11,travela,493
2024-03-11,contracts,1059512
2024-03-11,briefingt,106082
2024-03-11,parliament_committee_deputy,253
2024-03-11,ati_all,171187
2024-03-11,parliament_report,378
2024-03-11,contracts_nil,76
2024-03-11,transition,69
2024-03-11,reclassification,11287
2024-03-11,qpnotes,5298
2024-03-11,adminaircraft,20
2024-03-11,travelq,96161
2024-03-11,hospitalityq_nil,3355
2024-03-11,transition_deputy,48
2024-03-11,hospitalityq,23256
2024-03-11,ati_nil,3211
2024-03-11,wrongdoing,48
2024-03-11,contractsa,398
2024-03-11,grants_nil,172
2024-03-11,grants,984263
2024-03-11,dac,2998
2024-03-11,parliament_committee,279
2024-03-11,reclassification_nil,876
2024-03-10,ati_all,171187
2024-03-10,parliament_report,378
2024-03-10,grants_nil,172
2024-03-10,reclassification_nil,876
2024-03-10,reclassification,11287
2024-03-10,transition,69
2024-03-10,adminaircraft,20
2024-03-10,travelq,96161
2024-03-10,contractsa,398
2024-03-10,qpnotes,5298
2024-03-10,grants,984263
2024-03-10,travela,493
2024-03-10,ati_nil,3211
2024-03-10,briefingt,106082
2024-03-10,hospitalityq_nil,3355
2024-03-10,travelq_nil,2013
2024-03-10,transition_deputy,48
2024-03-10,parliament_committee,279
2024-03-10,parliament_committee_deputy,253
2024-03-10,contracts,1059512
2024-03-10,dac,2998
2024-03-10,wrongdoing,48
2024-03-10,hospitalityq,23256
2024-03-10,contracts_nil,76
2024-03-09,reclassification,11287
2024-03-09,briefingt,106082
2024-03-09,dac,2998
2024-03-09,grants_nil,172
2024-03-09,parliament_committee,279
2024-03-09,travelq,96161
2024-03-09,travela,493
2024-03-09,hospitalityq_nil,3355
2024-03-09,parliament_committee_deputy,250
2024-03-09,contractsa,398
2024-03-09,travelq_nil,2013
2024-03-09,ati_all,171187
2024-03-09,parliament_report,378
2024-03-09,hospitalityq,23256
2024-03-09,ati_nil,3211
2024-03-09,reclassification_nil,876
2024-03-09,transition_deputy,48
2024-03-09,wrongdoing,48
2024-03-09,adminaircraft,20
2024-03-09,grants,984263
2024-03-09,transition,69
2024-03-09,contracts,1059511
2024-03-09,qpnotes,5298
2024-03-09,contracts_nil,76
2024-03-08,hospitalityq,23251
2024-03-08,transition,69
2024-03-08,hospitalityq_nil,3355
2024-03-08,reclassification,11287
2024-03-08,parliament_committee,279
2024-03-08,travelq_nil,2013
2024-03-08,dac,2998
2024-03-08,wrongdoing,48
2024-03-08,grants,984263
2024-03-08,qpnotes,5298
2024-03-08,reclassification_nil,876
2024-03-08,contracts,1059254
2024-03-08,grants_nil,172
2024-03-08,travelq,96161
2024-03-08,ati_nil,3206
2024-03-08,adminaircraft,20
2024-03-08,ati_all,171179
2024-03-08,travela,493
2024-03-08,transition_deputy,48
2024-03-08,contractsa,398
2024-03-08,parliament_report,378
2024-03-08,parliament_committee_deputy,250
2024-03-08,contracts_nil,76
2024-03-08,briefingt,106053
2024-03-07,grants_nil,172
2024-03-07,parliament_report,378
2024-03-07,reclassification,11287
2024-03-07,transition_deputy,48
2024-03-07,transition,69
2024-03-07,parliament_committee,279
2024-03-07,ati_nil,3199
2024-03-07,reclassification_nil,876
2024-03-07,travela,493
2024-03-07,contractsa,398
2024-03-07,grants,984064
2024-03-07,wrongdoing,48
2024-03-07,travelq,96161
2024-03-07,briefingt,106054
2024-03-07,qpnotes,5289
2024-03-07,travelq_nil,2013
2024-03-07,parliament_committee_deputy,250
2024-03-07,hospitalityq,23251
2024-03-07,contracts_nil,76
2024-03-07,contracts,1059167
2024-03-07,hospitalityq_nil,3355
2024-03-07,dac,2998
2024-03-07,adminaircraft,20
2024-03-07,ati_all,171178
2024-03-06,contracts_nil,76
2024-03-06,travelq_nil,2013
2024-03-06,hospitalityq_nil,3355
2024-03-06,briefingt,106048
2024-03-06,contractsa,398
2024-03-06,reclassification_nil,876
2024-03-06,wrongdoing,48
2024-03-06,ati_nil,3193
2024-03-06,reclassification,11287
2024-03-06,qpnotes,5289
2024-03-06,grants,984263
2024-03-06,hospitalityq,23251
